period,window,horizon,tail_prob,var1,var2,corr,n_obs
full_2015,1008,21,0.05,dq_es,dr_es_concentration,0.9426755305694691,88
full_2015,1008,21,0.05,dq_es,future_tail_event,0.04335817140685133,88
full_2015,1008,21,0.05,dr_es_concentration,future_tail_event,-0.058377476493370835,88
full_2015,1008,21,0.05,alpha_heaviness_inv,future_tail_event,0.1325339098405339,88
full_2015,1008,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.06437999088628436,88
full_2015,1008,63,0.025,dq_es,alpha_heaviness_inv,0.9747989756931624,86
full_2015,1008,63,0.025,dq_es,alpha_median,-0.9665149840757254,86
full_2015,1008,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.9306292051506146,86
full_2015,1008,63,0.025,dq_es,dr_es_concentration,0.9712964059092882,86
full_2015,1008,63,0.025,dq_es,future_tail_event,0.1522133527467038,86
full_2015,1008,63,0.025,dr_es_concentration,future_tail_event,0.11712312543175969,86
full_2015,1008,63,0.025,alpha_heaviness_inv,future_tail_event,0.28142437606361353,86
full_2015,1008,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.22875935754350968,86
full_2015,1008,63,0.05,dq_es,alpha_heaviness_inv,0.9701643969088645,86
full_2015,1008,63,0.05,dq_es,alpha_median,-0.9768613764736566,86
full_2015,1008,63,0.05,dr_es_concentration,alpha_heaviness_inv,0.8924659949114747,86
full_2015,1008,63,0.05,dq_es,dr_es_concentration,0.9703397940698743,86
full_2015,1008,63,0.05,dq_es,future_tail_event,0.051381935530682245,86
full_2015,1008,63,0.05,dr_es_concentration,future_tail_event,-0.007400574718875626,86
full_2015,1008,63,0.05,alpha_heaviness_inv,future_tail_event,0.10657117835090589,86
full_2015,1008,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.04324781958514641,86
