secid,market,chosen_boardid,n_boards,all_boards,chosen_board_nobs,max_board_nobs
RU000A1043E2,bonds,TQCB,1,TQCB,1136,1136
RU000A1043K9,bonds,TQCB,1,TQCB,1136,1136
RU000A1043P8,bonds,TQCB,1,TQCB,553,553
RU000A1043Z7,bonds,TQCB,1,TQCB,1135,1135
RU000A104693,bonds,TQCB,1,TQCB,1128,1128
RU000A104A05,bonds,TQCB,1,TQCB,1119,1119
RU000A104A39,bonds,TQCB,1,TQCB,1118,1118
RU000A104AM1,bonds,TQCB,1,TQCB,1116,1116
RU000A104B04,bonds,TQCB,1,TQCB,1113,1113
RU000A104B46,bonds,TQCB,1,TQCB,1112,1112
RU000A104B79,bonds,TQCB,1,TQCB,1079,1079
RU000A104BC0,bonds,TQCB,1,TQCB,1114,1114
RU000A104CF1,bonds,TQCB,1,TQCB,363,363
RU000A104DZ7,bonds,TQCB,1,TQCB,363,363
RU000A104EP6,bonds,TQCB,1,TQCB,1098,1098
RU000A104FG2,bonds,TQCB,1,TQCB,1091,1091
RU000A104JQ3,bonds,TQCB,1,TQCB,1077,1077
RU000A104JW1,bonds,TQCB,1,TQCB,838,838
RU000A104SX0,bonds,TQCB,1,TQCB,1023,1023
RU000A104TQ2,bonds,TQCB,1,TQCB,859,859
