market,period,window,horizon,tail_prob,x,y,n,pearson,spearman,spearman_p
bonds,baseline_2018,252,21,0.025,future_rv_ann,future_mdd,88,0.8774612936937054,0.7323799795709909,5.1224678510987785e-16
bonds,baseline_2018,252,21,0.025,future_rv_ann,future_tail_event,88,0.5725114633626817,0.5936901848987389,1.0850626709311294e-09
bonds,baseline_2018,252,21,0.025,future_mdd,future_tail_event,88,0.5684413792629893,0.6502321072700475,7.093065188617949e-12
bonds,baseline_2018,252,21,0.05,dq_es,dr_es_concentration,88,0.8045658423373944,0.7498635039732573,4.2215998550035746e-17
bonds,baseline_2018,252,21,0.05,dq_es,current_es,88,0.2161016977622919,0.09823575570405374,0.3625263482301304
bonds,baseline_2018,252,21,0.05,dq_es,current_rv_ann,88,0.31036677245458816,0.0807016928997173,0.4547950880274525
bonds,baseline_2018,252,21,0.05,dq_es,current_hill_alpha,88,-0.5809744001363699,-0.751484424644416,3.3148039664227933e-17
bonds,baseline_2018,252,21,0.05,dq_es,n_assets,88,0.17653079483392886,0.19751360609252458,0.06510073436001895
bonds,baseline_2018,252,21,0.05,dq_es,future_es,88,-0.04674779143687848,-0.0623315781693801,0.5639915001908296
bonds,baseline_2018,252,21,0.05,dq_es,future_var,88,-0.11845056955139364,-0.05900276543301026,0.585026706916684
bonds,baseline_2018,252,21,0.05,dq_es,future_rv_ann,88,-0.02684979469669033,-0.11150642028548893,0.30099765162135855
bonds,baseline_2018,252,21,0.05,dq_es,future_mdd,88,0.03592611363594548,0.03853673157236611,0.7214885169643755
bonds,baseline_2018,252,21,0.05,dq_es,future_tail_event,88,0.08356730377490389,0.12219755969028219,0.2567186830607871
bonds,baseline_2018,252,21,0.05,dr_es_concentration,current_es,88,0.6434880685320179,0.46884441058007775,4.081667794613017e-06
bonds,baseline_2018,252,21,0.05,dr_es_concentration,current_rv_ann,88,0.6507646576320749,0.45361206015990985,9.062189047027062e-06
bonds,baseline_2018,252,21,0.05,dr_es_concentration,current_hill_alpha,88,-0.44421295044294357,-0.49667033843081737,8.579754870334504e-07
bonds,baseline_2018,252,21,0.05,dr_es_concentration,n_assets,88,0.1980729135417829,0.26620752216689625,0.012177638230629713
bonds,baseline_2018,252,21,0.05,dr_es_concentration,future_es,88,0.01549516936282784,0.012574407382621253,0.9074335090974055
bonds,baseline_2018,252,21,0.05,dr_es_concentration,future_var,88,-0.07462600589637346,0.03236941284209785,0.7646434257297896
bonds,baseline_2018,252,21,0.05,dr_es_concentration,future_rv_ann,88,0.04350263001999251,-0.08109964425346061,0.452566742137265
bonds,baseline_2018,252,21,0.05,dr_es_concentration,future_mdd,88,0.07010846618425168,0.05653199957733085,0.6008676299861924
bonds,baseline_2018,252,21,0.05,dr_es_concentration,future_tail_event,88,0.004329348455172217,-0.017070214563258915,0.8745713217624692
bonds,baseline_2018,252,21,0.05,current_es,current_rv_ann,88,0.9608502326315596,0.9681002076750335,1.7950881757127817e-53
bonds,baseline_2018,252,21,0.05,current_es,current_hill_alpha,88,-0.18859280153383276,-0.057919174754032174,0.5919505018919261
bonds,baseline_2018,252,21,0.05,current_es,n_assets,88,0.054357504204452185,-0.04966384155152466,0.6458676337004237
bonds,baseline_2018,252,21,0.05,current_es,future_es,88,0.07775119808740856,0.29382701329549826,0.005460292414240072
bonds,baseline_2018,252,21,0.05,current_es,future_var,88,0.0800372079300833,0.26077345592789425,0.014131134921026694
bonds,baseline_2018,252,21,0.05,current_es,future_rv_ann,88,0.14672842552857115,0.3130708243395203,0.0029788241025163714
bonds,baseline_2018,252,21,0.05,current_es,future_mdd,88,0.04762877296033552,0.17233999748715034,0.10835851694660129
bonds,baseline_2018,252,21,0.05,current_es,future_tail_event,88,-0.02560391770600299,-0.02920445214778186,0.7870814201537906
bonds,baseline_2018,252,21,0.05,current_rv_ann,current_hill_alpha,88,-0.163523524496628,0.025342660394180296,0.8146949096887455
bonds,baseline_2018,252,21,0.05,current_rv_ann,n_assets,88,0.03391109019655762,-0.007490899111387455,0.9447770371869978
bonds,baseline_2018,252,21,0.05,current_rv_ann,future_es,88,0.026533468815042247,0.22692050297629532,0.033496163697496216
bonds,baseline_2018,252,21,0.05,current_rv_ann,future_var,88,0.012116073330500077,0.19597759853474697,0.06725965542130062
bonds,baseline_2018,252,21,0.05,current_rv_ann,future_rv_ann,88,0.0891922884938968,0.23146419640026772,0.030019044190949123
bonds,baseline_2018,252,21,0.05,current_rv_ann,future_mdd,88,0.0005229048720243999,0.10668873938924307,0.3224937711803467
bonds,baseline_2018,252,21,0.05,current_rv_ann,future_tail_event,88,-0.06089647951733012,-0.07277301998020906,0.5004355227413021
bonds,baseline_2018,252,21,0.05,current_hill_alpha,n_assets,88,-0.033114141055372505,-0.1465999841406197,0.17290059051032544
