market,period,window,horizon,tail_prob,dependent,spec_name,param,coef,t_hac,pvalue_hac,r2,n_obs
bonds,baseline_2018,252,21,0.05,future_rv_ann,full,dq_es,0.049501127971377866,0.45437189970634106,0.6495611740485846,0.15232844257325495,88
bonds,baseline_2018,252,21,0.05,future_rv_ann,full,dr_es_concentration,-0.5069924728931796,-1.30411720865078,0.1921936223344819,0.15232844257325495,88
bonds,baseline_2018,252,21,0.05,future_mdd,dq_only,dq_es,0.0049217317852735115,0.38764437270440083,0.6982792269388144,0.0012906856409828915,88
bonds,baseline_2018,252,21,0.05,future_mdd,dr_only,dr_es_concentration,0.02720169394795452,0.7180504344527474,0.47272619007348127,0.00491519703070864,88
bonds,baseline_2018,252,21,0.05,future_mdd,dq_dr,dq_es,-0.007955741115655909,-0.5244183624974733,0.5999875875781921,0.006104572787522855,88
bonds,baseline_2018,252,21,0.05,future_mdd,dq_dr,dr_es_concentration,0.045330116433743864,0.9317371226246238,0.3514723965545157,0.006104572787522855,88
bonds,baseline_2018,252,21,0.05,future_mdd,dq_dr_current_es,dq_es,-0.013315258894090902,-0.4647403651165579,0.6421173982324619,0.006790781491892828,88
bonds,baseline_2018,252,21,0.05,future_mdd,dq_dr_current_es,dr_es_concentration,0.06896318660731557,0.5531938748524573,0.5801306607341601,0.006790781491892828,88
bonds,baseline_2018,252,21,0.05,future_mdd,full,dq_es,0.031230536287805182,0.7924172418316274,0.4281174292348282,0.08205926846738953,88
bonds,baseline_2018,252,21,0.05,future_mdd,full,dr_es_concentration,-0.11204408763293511,-0.773467354481375,0.4392458417355064,0.08205926846738953,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dq_only,dq_es,0.27318532950297014,0.8063299382090746,0.42005263256938374,0.006983494260206724,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dr_only,dr_es_concentration,0.04008310034265994,0.038156884509446494,0.9695625970192283,1.874325804596122e-05,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dq_dr,dq_es,0.7423245950798318,1.3870528311816694,0.1654256536567773,0.01820397910679783,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dq_dr,dr_es_concentration,-1.6514216489405609,-1.0357123700054065,0.3003363496720507,0.01820397910679783,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dq_dr_current_es,dq_es,1.0842074290792412,1.4100683714211821,0.15851949537120502,0.023107779931554773,88
bonds,baseline_2018,252,21,0.05,future_tail_event,dq_dr_current_es,dr_es_concentration,-3.158971645240217,-1.1441364003635413,0.25256707388767463,0.023107779931554773,88
bonds,baseline_2018,252,21,0.05,future_tail_event,full,dq_es,2.4454598599542745,2.7791614426557048,0.00544994314646572,0.17017997385938888,88
bonds,baseline_2018,252,21,0.05,future_tail_event,full,dr_es_concentration,-8.474407288282455,-2.7913677496791713,0.005248580150383324,0.17017997385938888,88
bonds,baseline_2018,252,63,0.025,future_es,dq_only,dq_es,-0.009124602200533988,-1.171217262918255,0.24151145805730911,0.010855524417195617,86
bonds,baseline_2018,252,63,0.025,future_es,dr_only,dr_es_concentration,-0.0003732193084619452,-0.014202647010891955,0.9886683081911365,3.790549773619034e-06,86
bonds,baseline_2018,252,63,0.025,future_es,dq_dr,dq_es,-0.0382001289809988,-1.718550909199991,0.08569617699599041,0.044707625647690485,86
