secid,n_obs,n_days,date_min,date_max,zero_share,abs_q99,abs_max,ann_vol,es_975,hill_alpha,period_days,coverage,passes_basic,prefix_preferred,selected,period,market
RU000A10BNE1,248,248,2025-05-26,2026-05-15,0.0,0.021139319307894498,0.031724116138413,0.08907608963595276,0.015396023457332245,2.60926040391452,2119,0.1170363378952336,False,True,False,baseline_2018,bonds
RU000A10BNF8,248,248,2025-05-26,2026-05-15,0.0,0.019062907473651077,0.0246288760384996,0.08626590618826308,0.014979630641079723,2.452034646547036,2119,0.1170363378952336,False,True,False,baseline_2018,bonds
RU000A10BNK8,248,248,2025-05-26,2026-05-15,0.0,0.01770855560933208,0.0209695954602397,0.09162351709782805,0.015719455362106772,2.547843714347048,2119,0.1170363378952336,False,True,False,baseline_2018,bonds
RU000A10BNM4,248,248,2025-05-26,2026-05-15,0.008064516129032258,0.0175573274573834,0.0237081472261199,0.07764309985222212,0.00916150051683012,3.375960913037622,2119,0.1170363378952336,False,True,False,baseline_2018,bonds
RU000A10BP38,246,246,2025-05-28,2026-05-15,0.0,0.015111879490642521,0.0190365459482258,0.07864897598427355,0.012560429534105787,3.023845136996438,2119,0.11609249646059462,False,True,False,baseline_2018,bonds
RU000A10BP46,246,246,2025-05-28,2026-05-15,0.0,0.017038692754188248,0.0229323999997751,0.08061222402721903,0.013721689843604307,3.018366942152909,2119,0.11609249646059462,False,True,False,baseline_2018,bonds
RU000A10BP53,246,246,2025-05-28,2026-05-15,0.0,0.03314849623680102,0.0355758194197908,0.13993235547790636,0.027358492917812085,3.0768397241518146,2119,0.11609249646059462,False,True,False,baseline_2018,bonds
RU000A10BP79,246,246,2025-05-28,2026-05-15,0.0,0.011835530894829558,0.0134847221081101,0.04928794581898264,0.007966661043326034,2.08828180241986,2119,0.11609249646059462,False,True,False,baseline_2018,bonds
RU000A10BP87,246,246,2025-05-28,2026-05-15,0.0,0.013291380517378312,0.0170359220985253,0.059747114631994204,0.009079913864823212,2.0257995197732064,2119,0.11609249646059462,False,True,False,baseline_2018,bonds
RU000A10BPF3,244,244,2025-05-30,2026-05-15,0.0,0.04950865753893101,0.114315300816242,0.18996224089919148,0.038715328619419107,1.287383406739667,2119,0.11514865502595564,False,True,False,baseline_2018,bonds
RU000A10BPP2,244,244,2025-05-30,2026-05-15,0.0,0.36493145955396655,0.390855578141684,1.23453482194707,0.36609262965808326,,2119,0.11514865502595564,False,True,False,baseline_2018,bonds
RU000A10BPN7,244,244,2025-05-30,2026-05-15,0.004098360655737705,0.014557151151407334,0.0195734240913286,0.07750490065144001,0.011550475831863959,2.803674823034267,2119,0.11514865502595564,False,True,False,baseline_2018,bonds
RU000A10BPQ0,244,244,2025-05-30,2026-05-15,0.00819672131147541,0.022584657032471755,0.0330680048670523,0.12085001081849168,0.01893013289958313,3.25568977624665,2119,0.11514865502595564,False,True,False,baseline_2018,bonds
RU000A10BJX9,243,243,2025-06-02,2026-05-15,0.0,0.009377286705940745,0.0146463466950384,0.057946325050472085,0.009493125048917176,1.8755283659369877,2119,0.11467673430863615,False,True,False,baseline_2018,bonds
RU000A10BPX6,243,243,2025-06-02,2026-05-15,0.0,0.019651195702033768,0.0221557365462482,0.08539967827419125,0.015531514441798107,2.6049460502906063,2119,0.11467673430863615,False,True,False,baseline_2018,bonds
RU000A10BPZ1,243,243,2025-06-02,2026-05-15,0.0,0.013682751101750292,0.0149728116248828,0.07034639768379108,0.010532491542519371,2.9763515314871927,2119,0.11467673430863615,False,True,False,baseline_2018,bonds
RU000A10BQ03,243,243,2025-06-02,2026-05-15,0.0,0.014288929313909208,0.0210476592653692,0.07819542324538037,0.012242864951381466,2.196924378904619,2119,0.11467673430863615,False,True,False,baseline_2018,bonds
RU000A10BQ78,242,242,2025-06-03,2026-05-15,0.0,0.011862165359893841,0.0142796486405626,0.05716253055905229,0.008719261412442919,2.3299472029401453,2119,0.11420481359131666,False,True,False,baseline_2018,bonds
RU000A10BQ60,242,242,2025-06-03,2026-05-15,0.01652892561983471,0.018919663945947136,0.0395706113556882,0.08582583947664994,0.015629276547927284,1.8123164199332131,2119,0.11420481359131666,False,True,False,baseline_2018,bonds
RU000A10BQB0,241,241,2025-06-04,2026-05-15,0.0,0.013020544916169417,0.0162415067851114,0.0707666604347934,0.009710656727899405,3.5323730934896274,2119,0.11373289287399717,False,True,False,baseline_2018,bonds
RU000A10BQC8,241,241,2025-06-04,2026-05-15,0.0,0.015707042917111537,0.016260220922277,0.08001153070734647,0.010316891104289476,4.716763250629728,2119,0.11373289287399717,False,True,False,baseline_2018,bonds
RU000A10BQD6,241,241,2025-06-04,2026-05-15,0.004149377593360996,0.007299589452085119,0.00954743663093033,0.03503604135222362,0.005119500374215497,3.096126395304162,2119,0.11373289287399717,False,True,False,baseline_2018,bonds
RU000A10BQH7,240,240,2025-06-05,2026-05-15,0.0,0.011645797318724107,0.0184037820766961,0.06172116611150295,0.008156855069940306,3.427281221719344,2119,0.11326097215667767,False,True,False,baseline_2018,bonds
RU000A10BQF1,240,240,2025-06-05,2026-05-15,0.004166666666666667,0.00689704268514942,0.00969344303508998,0.04016242857022188,0.005463368762375055,2.776080410727879,2119,0.11326097215667767,False,True,False,baseline_2018,bonds
RU000A10BQM7,239,239,2025-06-06,2026-05-15,0.0,0.04990461413230026,0.1112973758288,0.1965331491160318,0.04157974998697941,1.8003050496292041,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A10BQU0,239,239,2025-06-06,2026-05-15,0.0,0.38102193548557606,0.445035519682391,1.3317870926955495,0.3887203125465553,,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A10BQV8,239,239,2025-06-06,2026-05-15,0.0,0.5399594604384536,0.574481974391987,1.809003537803675,0.5407623489365792,,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A10BQX4,239,239,2025-06-06,2026-05-15,0.008368200836820083,0.007689525387213776,0.0158021235887587,0.041459496587611736,0.005800567038581658,3.069818349209351,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A1084J5,239,239,2025-06-06,2026-05-15,0.698744769874477,0.17186413901795958,0.209068542315018,0.49790674335952456,0.12236195946607742,,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A10BL73,239,239,2025-06-06,2026-05-15,0.9581589958158996,1.048186386032847e-05,0.01042718823516,0.0107066602301849,0.0,,2119,0.11278905143935819,False,True,False,baseline_2018,bonds
RU000A10BRM5,238,238,2025-06-09,2026-05-15,0.0,0.3763593563960925,0.403904856531845,1.2807364767099367,0.3813039365045392,,2119,0.1123171307220387,False,True,False,baseline_2018,bonds
RU000A10BR02,237,237,2025-06-10,2026-05-15,0.0,0.12979740279823612,0.264611480766733,0.7031422654742486,0.12954832165341013,2.9016536434791447,2119,0.11184521000471921,False,True,False,baseline_2018,bonds
RU000A10BRN3,237,237,2025-06-10,2026-05-15,0.0,0.01396156725702876,0.0198881546656175,0.07476314973663795,0.01169815647014375,5.036629734236793,2119,0.11184521000471921,False,True,False,baseline_2018,bonds
RU000A10BRR4,237,237,2025-06-10,2026-05-15,0.0,0.006023925468042609,0.0132223046718217,0.03396977533602355,0.005358913075558798,3.049160845269952,2119,0.11184521000471921,False,True,False,baseline_2018,bonds
RU000A10BS68,235,235,2025-06-13,2026-05-15,0.0,0.6565279796619261,0.701666689774675,2.1809317601704903,0.6389764232912647,,2119,0.11090136857008023,False,True,False,baseline_2018,bonds
RU000A10BS76,235,235,2025-06-13,2026-05-15,0.0,0.017958717972601443,0.0261434307767772,0.09993826620945831,0.0167922023743374,2.660666320311008,2119,0.11090136857008023,False,True,False,baseline_2018,bonds
RU000A10BSL5,235,235,2025-06-13,2026-05-15,0.0,0.010776311505781138,0.0174344431578625,0.05906951393220107,0.008789568950363378,3.9853621125039718,2119,0.11090136857008023,False,True,False,baseline_2018,bonds
