market,period,window,horizon,tail_prob,variable,aux_r2,vif
bonds,shock_2022_2023,252,21,0.025,current_rv_ann,0.9979776057106419,494.46342153061585
bonds,shock_2022_2023,252,21,0.025,current_hill_alpha,0.9105419016069405,11.17841780635909
bonds,shock_2022_2023,252,21,0.025,n_assets,-inf,0.0
bonds,shock_2022_2023,252,21,0.05,dq_es,-191.58333333333334,0.005192557334487234
bonds,shock_2022_2023,252,21,0.05,dr_es_concentration,0.9775980230507025,44.63891746086992
bonds,shock_2022_2023,252,21,0.05,current_es,0.9985181295874027,674.8228397699717
bonds,shock_2022_2023,252,21,0.05,current_rv_ann,0.9971926652842616,356.20975097620016
bonds,shock_2022_2023,252,21,0.05,current_hill_alpha,0.9004123038072629,10.041401078951052
bonds,shock_2022_2023,252,21,0.05,n_assets,-inf,0.0
shares,baseline_2018,252,21,0.025,dq_es,0.9360717594701617,15.64253906742911
shares,baseline_2018,252,21,0.025,dr_es_concentration,0.7968195524597363,4.921733425170417
shares,baseline_2018,252,21,0.025,current_es,0.9901394909438365,101.41464241898619
shares,baseline_2018,252,21,0.025,current_rv_ann,0.9756526227475096,41.07218570730099
shares,baseline_2018,252,21,0.025,current_hill_alpha,0.6257716291280951,2.67216512118022
shares,baseline_2018,252,21,0.025,n_assets,-inf,0.0
shares,baseline_2018,252,21,0.05,dq_es,0.8796392121963972,8.30835372755899
shares,baseline_2018,252,21,0.05,dr_es_concentration,0.8522851630579449,6.769800655788391
shares,baseline_2018,252,21,0.05,current_es,0.9878665279846068,82.41664040856129
shares,baseline_2018,252,21,0.05,current_rv_ann,0.974710426104413,39.54198691242089
shares,baseline_2018,252,21,0.05,current_hill_alpha,0.6125199209155634,2.5807778360189917
shares,baseline_2018,252,21,0.05,n_assets,-inf,0.0
shares,baseline_2018,252,63,0.025,dq_es,0.9355070499205059,15.505570744824032
shares,baseline_2018,252,63,0.025,dr_es_concentration,0.7981618745805115,4.954465356441745
shares,baseline_2018,252,63,0.025,current_es,0.9901414648733046,101.43494820971425
shares,baseline_2018,252,63,0.025,current_rv_ann,0.975729178747737,41.2017372468087
shares,baseline_2018,252,63,0.025,current_hill_alpha,0.6205824121395733,2.6356184636539886
shares,baseline_2018,252,63,0.025,n_assets,-inf,0.0
shares,baseline_2018,252,63,0.05,dq_es,0.8779194546057907,8.191313339655455
shares,baseline_2018,252,63,0.05,dr_es_concentration,0.8535434958571031,6.827965789926986
shares,baseline_2018,252,63,0.05,current_es,0.9878896731243529,82.5741542956139
shares,baseline_2018,252,63,0.05,current_rv_ann,0.9747840979977059,39.65751452829342
shares,baseline_2018,252,63,0.05,current_hill_alpha,0.6061695742724782,2.5391639006882287
shares,baseline_2018,252,63,0.05,n_assets,-inf,0.0
shares,baseline_2018,504,21,0.025,dq_es,0.9383666744737154,16.224988534385215
shares,baseline_2018,504,21,0.025,dr_es_concentration,0.78931769017897,4.746482990667219
shares,baseline_2018,504,21,0.025,current_es,0.9872448916303666,78.39996109956512
shares,baseline_2018,504,21,0.025,current_rv_ann,0.9805351652186072,51.37469756259827
shares,baseline_2018,504,21,0.025,current_hill_alpha,0.910332183300254,11.152273321748368
shares,baseline_2018,504,21,0.025,n_assets,-inf,0.0
shares,baseline_2018,504,21,0.05,dq_es,0.9548967613216576,22.17135685380788
shares,baseline_2018,504,21,0.05,dr_es_concentration,0.8854208118922524,8.727588461000643
shares,baseline_2018,504,21,0.05,current_es,0.9796294463595362,49.09046742910378
shares,baseline_2018,504,21,0.05,current_rv_ann,0.9733612001922293,37.53922876466427
shares,baseline_2018,504,21,0.05,current_hill_alpha,0.9454911182112296,18.345634090883394
shares,baseline_2018,504,21,0.05,n_assets,-inf,0.0
shares,baseline_2018,504,63,0.025,dq_es,0.9379688042003973,16.12092088681619
shares,baseline_2018,504,63,0.025,dr_es_concentration,0.7888131358680195,4.735142993434731
shares,baseline_2018,504,63,0.025,current_es,0.9870830091612053,77.41741187867173
shares,baseline_2018,504,63,0.025,current_rv_ann,0.9806048257897271,51.55921721344148
shares,baseline_2018,504,63,0.025,current_hill_alpha,0.905394766677445,10.570239772999834
shares,baseline_2018,504,63,0.025,n_assets,-inf,0.0
shares,baseline_2018,504,63,0.05,dq_es,0.9544473358107401,21.95261282293505
shares,baseline_2018,504,63,0.05,dr_es_concentration,0.8854889051350872,8.732778262051255
shares,baseline_2018,504,63,0.05,current_es,0.9796379608876626,49.11099494913061
